IssuerDesc,SecurityCode,SecurityDesc,HoldingDirection,CustodianCode,CurrencyCode,Quantity,PriceLocal,PriceBook,UnderlierPriceBook,MktValLocal,MktValBook,AvgCostLocal,AvgCostBook,CostLocal,CostBook,DtdPnlTotal,MtdPnlTotal,YtdPnlTotal,NetExposure,BbergCode,BloombergMarketSectorCode,Cusip,Sedol,Isin,AccrualStartDate,FrequencyCode,Coupon,IssuedDate,Maturity,Strike,ContractSize,ExcerciseType,PutCall,Expiration,ExchangeCode,SecurityTypeCode,SectorDesc,GeographyRegionDesc,GicsSectorDesc
ACLC Business Loan Receivables Trust,00086YAS1,ACLC Bus Loan Rec Trust 1999-1 A3 8/15/20,L,BONY,USD,13454000,88,88,0,1990412.744,1990412.744,82.5581,0,1867332,1867332,23082.32664,39630.6332,97598.58109,1990412.744,00086YAS1,Corp,00086YAS1,,US00086YAS19,7/15/2013,Monthly,7.385,6/4/1999,8/15/2020,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
Atherton Franchisee Loan Funding,047445AU5,AFLF 1999-A AX,L,BONY,USD,30887000,1,1,0,11770.41796,11770.41796,1.4102,0,16600,16600,10,296.02,-1756.97981,11770.41796,047445AU5,Corp,047445AU5,,US047445AU57,7/1/2013,Monthly,0.283928,5/1/1999,3/15/2021,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
BPFH,BPFH,BOSTON PRIVATE FINL HOLDING,S,GSCO-US,USD,-56346,9.64,9.64,0,-543175.44,-543175.44,7.8946,0,-444831,-444831,563.46,14257.4296,-37279.003,-543175.44,EQ0013614400001000 US,Equity,101119105,2081133,US1011191053,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNGS,Stock,Financials,North America,Financials
Bally Technologies Inc,BYI,BALLY TECHNOLOGIES INC,L,JPM,USD,377164,53.28,53.28,0,20095297.92,20095297.92,42.94,0,16195424,16195424,-248491.6443,342141.15,3210756.248,20095297.92,EQ0010750200001000 UN,Equity,05874B107,2380818,US05874B1070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
Bally Technologies Inc,BYI,BALLY TECHNOLOGIES INC,L,GSCO-US,USD,5608,53.28,53.28,0,298794.24,298794.24,45.2951,0,254015,254015,-3645.2,7346.48,48060.56,298794.24,EQ0010750200001000 UN,Equity,05874B107,2380818,US05874B1070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
BPFH,BPFHW,BOSTON PRIVATE FINL HOL-CW18,L,GSCO-US,USD,77587,3.3,3.3,9.64,256037.1,256037.1,2.2,0,170691,170691,2367.95524,-15936.858,-10967.9608,555793.2331,BPFHW US,Equity,101119113,B3LGPF7,US1011191137,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,C,11/21/2018,NOT SPECIFIED,Stock,Financials,North America,Financials
Bally Technologies Inc,BYI,BALLY TECHNOLOGIES INC,L,CSFB,USD,5921,53.28,53.28,0,315470.88,315470.88,50.6034,0,299623,299623,-3848.65,7756.51,15670.5186,315470.88,EQ0010750200001000 UN,Equity,05874B107,2380818,US05874B1070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
Bally Technologies Inc,BYI,BALLY TECHNOLOGIES INC,L,PERS,USD,45448,53.28,53.28,0,2421469.44,2421469.44,46.1768,0,2098646,2098646,-29541.2,59536.88,321402.717,2421469.44,EQ0010750200001000 UN,Equity,05874B107,2380818,US05874B1070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
Bally Technologies Inc,BYI,BALLY TECHNOLOGIES INC,L,MSCO,USD,56395,53.28,53.28,0,3004725.6,3004725.6,50.0432,0,2822187,2822187,-36656.75,73877.45,181749.1819,3004725.6,EQ0010750200001000 UN,Equity,05874B107,2380818,US05874B1070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
Captec Franchise Trust,140725AB8,CFT 2000-1 A2,L,BONY,USD,2440400,100.25,100.25,0,364761.0666,364761.0666,100.5446,0,365835,365835,82,2414.626863,8836.286133,364761.0666,140725AB8,Corp,140725AB8,,US140725AB88,1753-01-01,NOT SPECIFIED,1,1753-01-01,6/15/2013,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
